segmentnr	original	folio	analyzed
ZH_X63_1254_001:0735b06	正行集	001	正 行 集 
ZH_X63_1254_001:0735b08	西京寶應寺沙門釋　清覺　述	001	西 京 寶 應 寺 沙 門 釋  清 覺  述 
ZH_X63_1254_001:0735b09	凡君子者。不在乎貴。不在乎賤。不在乎貧。不在乎富。	001	凡 君 子 者  不 在 乎 貴  不 在 乎 賤  不 在 乎 貧  不 在 乎 富  
ZH_X63_1254_001:0735b10	唯在乎行也。君子之體。德行以成之。孝敬以加之。故	001	唯 在 乎 行 也  君 子 之 體  德 行 以 成 之  孝 敬 以 加 之  故 
ZH_X63_1254_001:0735b11	其廣固貞淨。世莫得焉。其廣也如海。其固也如山。其	001	其 廣 固 貞 淨  世 莫 得 焉  其 廣 也 如 海  其 固 也 如 山  其 
ZH_X63_1254_001:0735b12	貞也如松。其淨也如水。如海之廣者。深不可量。闊不	001	貞 也 如 松  其 淨 也 如 水  如 海 之 廣 者  深 不 可 量  闊 不 
ZH_X63_1254_001:0735b13	可測。減之不降。添之不盈。渾之不能使其濁。穢之不	001	可 測  減 之 不 降  添 之 不 盈  渾 之 不 能 使 其 濁  穢 之 不 
ZH_X63_1254_001:0735b14	能改其清。亦乃隱於珠懷其寶。浩渺廓落。無不納焉。	001	能 改 其 清  亦 乃 隱 於 珠 懷 其 寶  浩 渺 廓 落  無 不 納 焉  
ZH_X63_1254_001:0735b15	如山之固者。高而不危。久而不朽。移之不動。搖之不	001	如 山 之 固 者  高 而 不 危  久 而 不 朽  移 之 不 動  搖 之 不 
ZH_X63_1254_001:0735b16	傾。幽靜不能使其絕。塵埃不能合其有。亦乃隱於賢	001	傾  幽 靜 不 能 使 其 絕  塵 埃 不 能 合 其 有  亦 乃 隱 於 賢 
ZH_X63_1254_001:0735b17	藏於仙。崎嶇曠邈。無不產焉。如松之貞者。榮枯莫知。	001	藏 於 仙  崎 嶇 曠 邈  無 不 產 焉  如 松 之 貞 者  榮 枯 莫 知  
ZH_X63_1254_001:0735b18	蒼翠長在。霜雪不能令其凋。冬夏不能變其色。如水	001	蒼 翠 長 在  霜 雪 不 能 令 其 凋  冬 夏 不 能 變 其 色  如 水 
ZH_X63_1254_001:0735b19	之淨者。濟渭各色。平澹自然。鑑物不能遁其形。潤澤	001	之 淨 者  濟 渭 各 色  平 澹 自 然  鑑 物 不 能 遁 其 形  潤 澤 
ZH_X63_1254_001:0735b20	不能踰其利。凡君子者。寬宏大量。高識遠見。理其性。	001	不 能 踰 其 利  凡 君 子 者  寬 宏 大 量  高 識 遠 見  理 其 性  
ZH_X63_1254_001:0735b21	靜其神。修其德。蘊其行。以教以緒。無縱無恣。不侮不	001	靜 其 神  修 其 德  蘊 其 行  以 教 以 緒  無 縱 無 恣  不 侮 不 
ZH_X63_1254_001:0735b22	驕。絕毀絕譽。不彰他人之過。不行自己之非。和其光	001	驕  絕 毀 絕 譽  不 彰 他 人 之 過  不 行 自 己 之 非  和 其 光 
ZH_X63_1254_001:0735b23	而同其塵。薦其賢而任其德。禮無不恭。事無不從。孝	001	而 同 其 塵  薦 其 賢 而 任 其 德  禮 無 不 恭  事 無 不 從  孝 
