segmentnr	original	folio	analyzed
ZH_X46_0776_001:0165a03	序說	001	序 說 
ZH_X46_0776_001:0165a05	大宗地玄文本論。建立金剛五位。以眾生無量劫來	001	大 宗 地 玄 文 本 論  建 立 金 剛 五 位  以 眾 生 無 量 劫 來 
ZH_X46_0776_001:0165a06	業果相續。非三僧祇修證之功。不能盡除。故立無超	001	業 果 相 續  非 三 僧 祇 修 證 之 功  不 能 盡 除  故 立 無 超 
ZH_X46_0776_001:0165a07	次第漸轉位。以眾生一念相應。即同諸佛。故立無餘	001	次 第 漸 轉 位  以 眾 生 一 念 相 應  即 同 諸 佛  故 立 無 餘 
ZH_X46_0776_001:0165a08	究竟總持位。以眾生心含法界。普融無盡。故立周徧	001	究 竟 總 持 位  以 眾 生 心 含 法 界  普 融 無 盡  故 立 周 徧 
ZH_X46_0776_001:0165a09	圓滿廣大位。以眾生念念著有。違解脫門。故立一切	001	圓 滿 廣 大 位  以 眾 生 念 念 著 有  違 解 脫 門  故 立 一 切 
ZH_X46_0776_001:0165a10	諸法俱非位。以眾生棄有著空。趣於斷滅。故立一切	001	諸 法 俱 非 位  以 眾 生 棄 有 著 空  趣 於 斷 滅  故 立 一 切 
ZH_X46_0776_001:0165a11	諸法俱是位。上之五位。為佛法之總綱。攝盡一切破	001	諸 法 俱 是 位  上 之 五 位  為 佛 法 之 總 綱  攝 盡 一 切 破 
ZH_X46_0776_001:0165a12	障法門。該括一切稱性法門。纖毫無遺。若明此義。則	001	障 法 門  該 括 一 切 稱 性 法 門  纖 毫 無 遺  若 明 此 義  則 
ZH_X46_0776_001:0165a13	談宗談教。說有說空。皆不相妨。何有分河飲水。互相	001	談 宗 談 教  說 有 說 空  皆 不 相 妨  何 有 分 河 飲 水  互 相 
ZH_X46_0776_001:0165a14	是非之弊哉。奈何千餘年來。無人提唱。遂使無上妙	001	是 非 之 弊 哉  奈 何 千 餘 年 來  無 人 提 唱  遂 使 無 上 妙 
ZH_X46_0776_001:0165a15	法。祕而不宣。誠不解其何故也。或以論中名義玄微。	001	法  祕 而 不 宣  誠 不 解 其 何 故 也  或 以 論 中 名 義 玄 微  
ZH_X46_0776_001:0165a16	皆是法身大士行相。非凡位所知。師家艱於應對。故	001	皆 是 法身大士 行 相  非 凡 位 所 知  師 家 艱 於 應 對  故 
ZH_X46_0776_001:0165a17	不以此論示人。然一切悉知。必至佛果。等覺以還。隨	001	不 以 此 論 示 人  然 一 切 悉 知  必 至 佛 果  等 覺 以 還  隨 
ZH_X46_0776_001:0165a18	分演說。不害其德望也。儒門所謂知之為知之。不知	001	分 演 說  不 害 其 德 望 也  儒 門 所 謂 知 之 為 知 之  不 知 
ZH_X46_0776_001:0165a19	為不知。是知也。會竊取此義。略加註釋。所未知者。斷	001	為 不 知  是 知 也  會 竊 取 此 義  略 加 註 釋  所 未 知 者  斷 
ZH_X46_0776_001:0165a20	不強解。庶幾後學得一隙明。或有利根上智。頓入甚	001	不 強 解  庶 幾 後 學 得 一 隙 明  或 有 利 根 上 智  頓 入 甚 
ZH_X46_0776_001:0165a21	深法界。徹底通達。是所望也。其文義明顯者。亦不詮	001	深 法 界  徹 底 通 達  是 所 望 也  其 文 義 明 顯 者  亦 不 詮 
