segmentnr	original	folio	analyzed
ZH_X30_0602_001:0276a06	妙法蓮華經解序	001	妙法蓮華 經 解 序 
ZH_X30_0602_001:0276a08	前住福州上生禪院嗣祖沙門及南撰	001	前 住 福 州 上 生 禪 院 嗣 祖 沙 門 及 南 撰 
ZH_X30_0602_001:0276a09	諸佛出興唯為一事。千經所演無有餘乘。直以妙萬	001	諸 佛 出 興 唯 為 一 事  千 經 所 演 無 有 餘 乘  直 以 妙 萬 
ZH_X30_0602_001:0276a10	法而明一心。即幻華而示實相。則妙法蓮華經者。諸	001	法 而 明 一 心  即 幻 華 而 示 實 相  則 妙法蓮華 經 者  諸 
ZH_X30_0602_001:0276a11	佛之本宗千經之輨轄。一心之元鑑實相之妙門也。	001	佛 之 本 宗 千 經 之 輨 轄  一 心 之 元 鑑 實 相 之 妙 門 也  
ZH_X30_0602_001:0276a12	秦譯已還垂八百載。訓辭釋義代有哲人。而責備求	001	秦 譯 已 還 垂 八 百 載  訓 辭 釋 義 代 有 哲 人  而 責 備 求 
ZH_X30_0602_001:0276a13	全互有得失。信曰滿世間之鶖子。如恒沙之菩薩。盡	001	全 互 有 得 失  信 曰 滿 世 間 之 鶖 子  如 恒 沙 之 菩 薩  盡 
ZH_X30_0602_001:0276a14	思度量莫知少分。故雖多歷講解有所未盡。而潤色	001	思 度 量 莫 知 少 分  故 雖 多 歷 講 解 有 所 未 盡  而 潤 色 
ZH_X30_0602_001:0276a15	評論不拒來者。溫陵蓮寺環師。深究一乘博探眾說。	001	評 論 不 拒 來 者  溫 陵 蓮 寺 環 師  深 究 一 乘 博 探 眾 說  
ZH_X30_0602_001:0276a16	研幾摭要為之科解。宣和己亥初辱不鄙命予校證。	001	研 幾 摭 要 為 之 科 解  宣 和 己 亥 初 辱 不 鄙 命 予 校 證  
ZH_X30_0602_001:0276a17	既又徧質宗匠務契佛心。越丙午復會予南山。討疏	001	既 又 徧 質 宗 匠 務 契 佛 心  越 丙 午 復 會 予 南 山  討 疏 
ZH_X30_0602_001:0276a18	尋經參詳再四。黜名相芟蘩蔓。使入佛知見者。無摘	001	尋 經 參 詳 再 四  黜 名 相 芟 蘩 蔓  使 入 佛 知 見 者  無 摘 
ZH_X30_0602_001:0276a19	葉尋枝之厭。有析薪秉燭之觀。是真能發明祕要之	001	葉 尋 枝 之 厭  有 析 薪 秉 燭 之 觀  是 真 能 發 明 祕 要 之 
ZH_X30_0602_001:0276a20	藏也。或者扣師七軸文中何處為正說。妙法曰千經	001	藏 也  或 者 扣 師 七 軸 文 中 何 處 為 正 說  妙 法 曰 千 經 
ZH_X30_0602_001:0276a21	萬論唯為此事。豈茲一席輙有異談。世尊以是而開	001	萬 論 唯 為 此 事  豈 茲 一 席 輙 有 異 談  世 尊 以 是 而 開 
ZH_X30_0602_001:0276a22	示。群迷以是而悟入。火宅以是而出離。寶所以是而	001	示  群 迷 以 是 而 悟 入  火 宅 以 是 而 出 離  寶 所 以 是 而 
ZH_X30_0602_001:0276a23	前進。若等多劫以半日。現大千於一身。龍女之成佛	001	前 進  若 等 多 劫 以 半 日  現 大 千 於 一 身  龍 女 之 成 佛 
ZH_X30_0602_001:0276a24	不輕之徧記。藥王之然身。觀音之隨應。淨藏之轉邪。	001	不 輕 之 徧 記  藥 王 之 然 身  觀 音 之 隨 應  淨 藏 之 轉 邪  
ZH_X30_0602_001:0276b01	普賢之勸發。凡以是也。不明此事則滿目陳言。開佛	001	普 賢 之 勸 發  凡 以 是 也  不 明 此 事 則 滿 目 陳 言  開 佛 
ZH_X30_0602_001:0276b02	知見則孰非妙法。竊觀一期之問答。見全經之述作	001	知 見 則 孰 非 妙 法  竊 觀 一 期 之 問 答  見 全 經 之 述 作 
ZH_X30_0602_001:0276b03	矣。儻沿披味深造而自得。遂可跏趺無量義處。反照	001	矣  儻 沿 披 味 深 造 而 自 得  遂 可 跏 趺 無 量 義 處  反 照 
ZH_X30_0602_001:0276b04	白毫相光。開方便門示真實相。直拋糞器長御白牛。	001	白毫相光  開 方 便 門 示 真 實 相  直 拋 糞 器 長 御 白 牛  
