segmentnr	original	folio	analyzed
ZH_X65_1282_001:0255c03	門人以全身建塔於大明府西北隅。敕諡慧照禪師。	001	門 人 以 全 身 建 塔 於 大 明 府 西 北 隅  敕 諡 慧 照 禪 師  
ZH_X65_1282_001:0255c04	塔號澄靈。	001	塔 號 澄 靈  
ZH_X65_1282_001:0255c05	臨濟家風。全機大用。棒喝齊施。虎驟龍奔。星馳電掣。	001	臨 濟 家 風  全 機 大 用  棒 喝 齊 施  虎 驟 龍 奔  星 馳 電 掣  
ZH_X65_1282_001:0255c06	負冲天意氣。用格外提持。卷舒縱擒。殺活自在。埽除	001	負 冲 天 意 氣  用 格 外 提 持  卷 舒 縱 擒  殺 活 自 在  埽 除 
ZH_X65_1282_001:0255c07	情見。迥脫廉纖。以無位真人為宗。或喝或棒。或豎拂	001	情 見  迥 脫 廉 纖  以 無 位 真 人 為 宗  或 喝 或 棒  或 豎 拂 
ZH_X65_1282_001:0255c08	明之。	001	明 之  
ZH_X65_1282_001:0255c09	臨濟初至河北住院。見普化．克符二上座。乃謂曰。我	001	臨 濟 初 至 河 北 住 院  見 普 化  克 符 二 上 座  乃 謂 曰  我 
ZH_X65_1282_001:0255c10	欲於此建立黃檗宗旨。汝可成褫我。二人珍重下去。	001	欲 於 此 建 立 黃 檗 宗 旨  汝 可 成 褫 我  二 人 珍 重 下 去  
ZH_X65_1282_001:0255c11	三日後。普化却上來問。和尚三日前說甚麼。濟便打。	001	三 日 後  普 化 却 上 來 問  和 尚 三 日 前 說 甚 麼  濟 便 打  
ZH_X65_1282_001:0255c12	三日後。克符上來問。和尚三日前打普化作甚麼。濟	001	三 日 後  克 符 上 來 問  和 尚 三 日 前 打 普 化 作 甚 麼  濟 
ZH_X65_1282_001:0255c13	亦打。至晚。小參云。我有時奪人不奪境。我有時奪境	001	亦 打  至 晚  小 參 云  我 有 時 奪 人 不 奪 境  我 有 時 奪 境 
ZH_X65_1282_001:0255c14	不奪人。我有時人境兩俱奪。我有時人境俱不奪。又	001	不 奪 人  我 有 時 人 境 兩 俱 奪  我 有 時 人 境 俱 不 奪  又 
ZH_X65_1282_001:0255c15	云。如諸方學人來。山僧此間作三種根器斷。如中下	001	云  如 諸 方 學 人 來  山 僧 此 間 作 三 種 根 器 斷  如 中 下 
ZH_X65_1282_001:0255c16	根器來。我便奪其境。而不除其法。如中上根器來。我	001	根 器 來  我 便 奪 其 境  而 不 除 其 法  如 中 上 根 器 來  我 
ZH_X65_1282_001:0255c17	便境法俱奪。如上上根器來。我便境法俱不奪。如有	001	便 境 法 俱 奪  如 上 上 根 器 來  我 便 境 法 俱 不 奪  如 有 
ZH_X65_1282_001:0255c18	出格見解人來。山僧此間便全體作用。不歷根器。大	001	出 格 見 解 人 來  山 僧 此 間 便 全 體 作 用  不 歷 根 器  大 
ZH_X65_1282_001:0255c19	德。到者裏。學人著力不通風。石火電光却蹉過了也。	001	德  到 者 裏  學 人 著 力 不 通 風  石 火 電 光 却 蹉 過 了 也  
ZH_X65_1282_001:0255c20	學人若眼目定動。即沒交涉。古德又有云。中下根	001	學 人 若 眼 目 定 動  即 沒 交 涉  古 德 又 有 云  中 下 根 
ZH_X65_1282_001:0255c21	人來。奪境不奪法。中上根人來。奪境奪法不奪人。上	001	人 來  奪 境 不 奪 法  中 上 根 人 來  奪 境 奪 法 不 奪 人  上 
ZH_X65_1282_001:0255c22	上根人來。人境俱奪。出格人來。人境俱不奪。如是者。	001	上 根 人 來  人 境 俱 奪  出 格 人 來  人 境 俱 不 奪  如 是 者  
ZH_X65_1282_001:0255c23	謂之四料揀。還見麼。覿面便呈無礙境。交鋒全露就	001	謂 之 四 料 揀  還 見 麼  覿 面 便 呈 無 礙 境  交 鋒 全 露 就 
ZH_X65_1282_001:0255c24	中人。	001	中 人  
ZH_X65_1282_001:0256a01	三山來云。料者。材料之謂。譬如材料作舍。有大小	001	三 山 來 云  料 者  材 料 之 謂  譬 如 材 料 作 舍  有 大 小 
ZH_X65_1282_001:0256a02	曲直之不同。揀者。擇取之謂。譬如作舍材料。揀取	001	曲 直 之 不 同  揀 者  擇 取 之 謂  譬 如 作 舍 材 料  揀 取 
ZH_X65_1282_001:0256a03	何者謂棟梁。何者謂椽桷。因材而用。不致混淆。接	001	何 者 謂 棟 梁  何 者 謂 椽 桷  因 材 而 用  不 致 混 淆  接 
ZH_X65_1282_001:0256a04	人之法。因人而用。亦復如是。然四料揀中。止有人	001	人 之 法  因 人 而 用  亦復如是  然 四 料 揀 中  止 有 人 
ZH_X65_1282_001:0256a05	境二字。而復增一法字者何。大約人則就其當體	001	境 二 字  而 復 增 一 法 字 者 何  大 約 人 則 就 其 當 體 
ZH_X65_1282_001:0256a06	作用者言。境則就其即物拈示者言。法則就其隨	001	作 用 者 言  境 則 就 其 即 物 拈 示 者 言  法 則 就 其 隨 
ZH_X65_1282_001:0256a07	機接引者言。奪者。除而不用之意。須看有時二字	001	機 接 引 者 言  奪 者  除 而 不 用 之 意  須 看 有 時 二 字 
ZH_X65_1282_001:0256a08	甚活。不過接人處方便機關。臨時應用。通變圓融。	001	甚 活  不 過 接 人 處 方 便 機 關  臨 時 應 用  通 變 圓 融  
ZH_X65_1282_001:0256a09	無心合軌。檢點將來。似有奪不奪之異耳。如必拿	001	無 心 合 軌  檢 點 將 來  似 有 奪 不 奪 之 異 耳  如 必 拿 
ZH_X65_1282_001:0256a10	定死蛇。思量擬議。早已瞎却人眼。豈得為臨濟宗	001	定 死 蛇  思 量 擬 議  早 已 瞎 却 人 眼  豈 得 為 臨 濟 宗 
ZH_X65_1282_001:0256a11	旨哉。學者不可不辨。	001	旨 哉  學 者 不 可 不 辨  
ZH_X65_1282_001:0256a12	濟宗四料揀	001	濟 宗 四 料 揀 
ZH_X65_1282_001:0256a13	奪人不奪境　面貌不教人得見。青黃滿目任君看。	001	奪 人 不 奪 境  面 貌 不 教 人 得 見  青 黃 滿 目 任 君 看  
ZH_X65_1282_001:0256a14	三山來云。王孫一去芳草綠。頌曰。奪人不奪境。	001	三 山 來 云  王 孫 一 去 芳 草 綠  頌 曰  奪 人 不 奪 境  
ZH_X65_1282_001:0256a15	胭脂和紅粉。大地與山河。在在呈圖影。	001	胭 脂 和 紅 粉  大 地 與 山 河  在 在 呈 圖 影  
ZH_X65_1282_001:0256a16	奪境不奪人　禪板蒲團休錯用。眉毛眼睫最知音。	001	奪 境 不 奪 人  禪 板 蒲 團 休 錯 用  眉 毛 眼 睫 最 知 音  
ZH_X65_1282_001:0256a17	三山來云。洛陽春罷洞賓來。頌曰。奪境不奪人。	001	三 山 來 云  洛 陽 春 罷 洞 賓 來  頌 曰  奪 境 不 奪 人  
ZH_X65_1282_001:0256a18	把手夜深行。相逢不相識。覿面沒疎親。	001	把 手 夜 深 行  相 逢 不 相 識  覿 面 沒 疎 親  
ZH_X65_1282_001:0256a19	人境兩俱奪　走歸方丈慵開口。下却禪床懶措言。	001	人 境 兩 俱 奪  走 歸 方 丈 慵 開 口  下 却 禪 床 懶 措 言  
ZH_X65_1282_001:0256a20	三山來云。漁翁夜宿三更晚。頌曰。人境兩俱奪。	001	三 山 來 云  漁 翁 夜 宿 三 更 晚  頌 曰  人 境 兩 俱 奪  
ZH_X65_1282_001:0256a21	虗空那摸索。無形金彈子。落盡翀霄鶴。	001	虗 空 那 摸 索  無 形 金 彈 子  落 盡 翀 霄 鶴  
ZH_X65_1282_001:0256a22	人境俱不奪　高聲唱起應難邈。拄杖拈來畫不成。	001	人 境 俱 不 奪  高 聲 唱 起 應 難 邈  拄 杖 拈 來 畫 不 成  
ZH_X65_1282_001:0256a23	三山來云。牧童遙指杏花村。頌曰。人境俱不奪。	001	三 山 來 云  牧 童 遙 指 杏 花 村  頌 曰  人 境 俱 不 奪  
ZH_X65_1282_001:0256a24	脫灑灑脫脫。脚板踏峩眉。舌頭談五嶽。	001	脫 灑 灑 脫 脫  脚 板 踏 峩 眉  舌 頭 談 五 嶽  
ZH_X65_1282_001:0256b01	臨濟因僧問。如何是真佛．真法．真道。濟云。佛者。心清	001	臨 濟 因 僧 問  如 何 是 真 佛  真 法  真 道  濟 云  佛 者  心 清 
ZH_X65_1282_001:0256b02	淨是。法者。心光明是。道者。處處無礙淨光是。三即一。	001	淨 是  法 者  心 光 明 是  道 者  處 處 無 礙 淨 光 是  三 即 一  
ZH_X65_1282_001:0256b03	皆空而無實。如有真正道人。念念心不間斷。達磨大	001	皆 空 而 無 實  如 有 真 正 道 人  念 念 心 不 間 斷  達 磨 大 
ZH_X65_1282_001:0256b04	師從西土來。直是覓箇不受人惑底人。後遇二祖。一	001	師 從 西 土 來  直 是 覓 箇 不 受 人 惑 底 人  後 遇 二 祖  一 
ZH_X65_1282_001:0256b05	言便了。始知從前虗用工夫。山僧今日見處與佛祖	001	言 便 了  始 知 從 前 虗 用 工 夫  山 僧 今 日 見 處 與 佛 祖 
ZH_X65_1282_001:0256b06	無別。若第一句薦得。堪與佛祖為師。第二句薦得。堪	001	無 別  若 第 一 句 薦 得  堪 與 佛 祖 為 師  第 二 句 薦 得  堪 
ZH_X65_1282_001:0256b07	與人天為師。第三句薦得。自救不了。	001	與 人 天 為 師  第 三 句 薦 得  自 救 不 了  
ZH_X65_1282_001:0256b08	三山來別云。第一句薦得。半夜撞倒漆崑崙。第二	001	三 山 來 別 云  第 一 句 薦 得  半 夜 撞 倒 漆 崑 崙  第 二 
ZH_X65_1282_001:0256b09	句薦得。藕絲孔裏翻筋斗。第三句薦得。三歲孩兒	001	句 薦 得  藕 絲 孔 裏 翻 筋 斗  第 三 句 薦 得  三 歲 孩 兒 
ZH_X65_1282_001:0256b10	跛挈行。直此三句。總就諸人見地而言。須看第一．	001	跛 挈 行  直 此 三 句  總 就 諸 人 見 地 而 言  須 看 第 一  
ZH_X65_1282_001:0256b11	第二．第三字面。話有深淺。語有漸次。如徒混悶一	001	第 二  第 三 字 面  話 有 深 淺  語 有 漸 次  如 徒 混 悶 一 
ZH_X65_1282_001:0256b12	團。平空卜度。則不會臨濟所下之語矣。	001	團  平 空 卜 度  則 不 會 臨 濟 所 下 之 語 矣  
ZH_X65_1282_001:0256b13	濟宗三句	001	濟 宗 三 句 
ZH_X65_1282_001:0256b14	第一句　三要印開朱點窄。未容擬議主賓分。	001	第 一 句  三 要 印 開 朱 點 窄  未 容 擬 議 主 賓 分  
ZH_X65_1282_001:0256b15	三山來云。遠。頌曰。第一句。閉門打瞌睡。未曾睜	001	三 山 來 云  遠  頌 曰  第 一 句  閉 門 打 瞌 睡  未 曾 睜 
ZH_X65_1282_001:0256b16	眼時。遊戲成三昧。	001	眼 時  遊 戲 成 三 昧  
ZH_X65_1282_001:0256b17	第二句　妙解豈容無著問。漚和怎負截流機。	001	第 二 句  妙 解 豈 容 無 著 問  漚 和 怎 負 截 流 機  
ZH_X65_1282_001:0256b18	三山來云。近。頌曰。第二句。嬰兒剛有氣。[囗@力]地一	001	三 山 來 云  近  頌 曰  第 二 句  嬰 兒 剛 有 氣  [囗力] 地 一 
ZH_X65_1282_001:0256b19	聲來。眼耳鼻舌具。	001	聲 來  眼 耳 鼻 舌 具  
ZH_X65_1282_001:0256b20	第三句　但看棚頭弄傀儡。抽牽全借裏頭人。	001	第 三 句  但 看 棚 頭 弄 傀 儡  抽 牽 全 借 裏 頭 人  
ZH_X65_1282_001:0256b21	三山來云。差。頌曰。第三句。取火待鑽燧。燎却面	001	三 山 來 云  差  頌 曰  第 三 句  取 火 待 鑽 燧  燎 却 面 
ZH_X65_1282_001:0256b22	門毛。到底成何濟。	001	門 毛  到 底 成 何 濟  
ZH_X65_1282_001:0256b23	臨濟示眾云。大凡演唱宗乘。須一句中具三玄。一玄	001	臨 濟 示 眾 云  大 凡 演 唱 宗 乘  須 一 句 中 具 三 玄  一 玄 
ZH_X65_1282_001:0256b24	中具三要。有權有實。有照有用。汝等諸人作麼生會。	001	中 具 三 要  有 權 有 實  有 照 有 用  汝 等 諸 人 作 麼 生 會  
ZH_X65_1282_001:0256c01	汾陽昭舉了。乃云。那箇是三玄三要句。	001	汾 陽 昭 舉 了  乃 云  那 箇 是 三 玄 三 要 句  
ZH_X65_1282_001:0256c02	三山來云。飛彈打黃龍。眉毛遭鼠齩。	001	三 山 來 云  飛 彈 打 黃 龍  眉 毛 遭 鼠 齩  
ZH_X65_1282_001:0256c03	濟宗三玄要	001	濟 宗 三 玄 要 
ZH_X65_1282_001:0256c04	第一玄中玄　如趙州答庭柏話。此語於體上又不	001	第 一 玄 中 玄  如 趙 州 答 庭 柏 話  此 語 於 體 上 又 不 
ZH_X65_1282_001:0256c05	住於體。於句中又不著於句。妙玄無盡。事不投機。	001	住 於 體  於 句 中 又 不 著 於 句  妙 玄 無 盡  事 不 投 機  
ZH_X65_1282_001:0256c06	如雁過長空。影沉寒水。故亦名用中玄。	001	如 雁 過 長 空  影 沉 寒 水  故 亦 名 用 中 玄  
ZH_X65_1282_001:0256c07	三山來云。如趙州答庭柏話。此則就其現前指點。	001	三 山 來 云  如 趙 州 答 庭 柏 話  此 則 就 其 現 前 指 點  
ZH_X65_1282_001:0256c08	拈來便是。何等明淺。而目為玄中玄耶。且焉得以	001	拈 來 便 是  何 等 明 淺  而 目 為 玄 中 玄 耶  且 焉 得 以 
ZH_X65_1282_001:0256c09	玄中玄看作用中玄。豈有用中玄而為第一玄之	001	玄 中 玄 看 作 用 中 玄  豈 有 用 中 玄 而 為 第 一 玄 之 
ZH_X65_1282_001:0256c10	理。葢凡演唱宗乘。何語不從體中發出。未有能離	001	理  葢 凡 演 唱 宗 乘  何 語 不 從 體 中 發 出  未 有 能 離 
ZH_X65_1282_001:0256c11	體說法者。還直以第一玄假立為體中玄者近是。	001	體 說 法 者  還 直 以 第 一 玄 假 立 為 體 中 玄 者 近 是  
ZH_X65_1282_001:0256c12	如何是第一玄。	001	如 何 是 第 一 玄  
ZH_X65_1282_001:0256c13	三山來云。金剛兩頭肩。頌曰。第一玄。烏龜飛上	001	三 山 來 云  金 剛 兩 頭 肩  頌 曰  第 一 玄  烏 龜 飛 上 
ZH_X65_1282_001:0256c14	天。單剩一隻脚。踏著威音前。	001	天  單 剩 一 隻 脚  踏 著 威 音 前  
ZH_X65_1282_001:0256c15	第二句中玄　如張公喫酒李公醉。前三三後三三。	001	第 二 句 中 玄  如 張 公 喫 酒 李 公 醉  前 三 三 後 三 三  
ZH_X65_1282_001:0256c16	六六三十六。其言無意路。雖是體上發。此一句不	001	六 六 三 十 六  其 言 無 意 路  雖 是 體 上 發  此 一 句 不 
ZH_X65_1282_001:0256c17	拘於體故。	001	拘 於 體 故  
ZH_X65_1282_001:0256c18	三山來云。如六六三十六之語。此正是親切指點。	001	三 山 來 云  如 六 六 三 十 六 之 語  此 正 是 親 切 指 點  
ZH_X65_1282_001:0256c19	焉得謂之言無意路而目為句中玄耶。須知第二	001	焉 得 謂 之 言 無 意 路 而 目 為 句 中 玄 耶  須 知 第 二 
ZH_X65_1282_001:0256c20	句中玄即用中玄。葢有體而後有用。凡所發揮。皆	001	句 中 玄 即 用 中 玄  葢 有 體 而 後 有 用  凡 所 發 揮  皆 
ZH_X65_1282_001:0256c21	是從體起用。故宜以用次於體。還直以第二玄假	001	是 從 體 起 用  故 宜 以 用 次 於 體  還 直 以 第 二 玄 假 
ZH_X65_1282_001:0256c22	立為用中玄者近是。	001	立 為 用 中 玄 者 近 是  
ZH_X65_1282_001:0256c23	如何是第二玄。	001	如 何 是 第 二 玄  
ZH_X65_1282_001:0256c24	三山來云。空手把金鞭。頌曰。第二玄。騎馬上高	001	三 山 來 云  空 手 把 金 鞭  頌 曰  第 二 玄  騎 馬 上 高 
ZH_X65_1282_001:0257a01	竿。噴地翻筋斗。弔下一文錢。	001	竿  噴 地 翻 筋 斗  弔 下 一 文 錢  
ZH_X65_1282_001:0257a02	第三體中玄　此乃是最初一句。發於真體。此一句	001	第 三 體 中 玄  此 乃 是 最 初 一 句  發 於 真 體  此 一 句 
ZH_X65_1282_001:0257a03	便具體中玄。因言顯理。以顯玄中之體。雖明此理。	001	便 具 體 中 玄  因 言 顯 理  以 顯 玄 中 之 體  雖 明 此 理  
ZH_X65_1282_001:0257a04	乃是機不離位故。	001	乃 是 機 不 離 位 故  
ZH_X65_1282_001:0257a05	三山來云。如云體中玄是最初一句。發於真體。既	001	三 山 來 云  如 云 體 中 玄 是 最 初 一 句  發 於 真 體  既 
ZH_X65_1282_001:0257a06	是最初一句。發於真體。豈得以最初真體之句而	001	是 最 初 一 句  發 於 真 體  豈 得 以 最 初 真 體 之 句 而 
ZH_X65_1282_001:0257a07	目為第三玄耶。須知第三玄。乃是玄中玄。葢兼前	001	目 為 第 三 玄 耶  須 知 第 三 玄  乃 是 玄 中 玄  葢 兼 前 
ZH_X65_1282_001:0257a08	體用兩者。盡在當機拈出。名為體。不得名為用。不	001	體 用 兩 者  盡 在 當 機 拈 出  名 為 體  不 得 名 為 用  不 
ZH_X65_1282_001:0257a09	得名為非體非用。不得逈出意言。難於測度。非單	001	得 名 為 非 體 非 用  不 得 逈 出 意 言  難 於 測 度  非 單 
ZH_X65_1282_001:0257a10	就體而言也。還直以第二玄假立為玄中玄者近	001	就 體 而 言 也  還 直 以 第 二 玄 假 立 為 玄 中 玄 者 近 
ZH_X65_1282_001:0257a11	是。	001	是  
ZH_X65_1282_001:0257a12	如何是第三玄。	001	如 何 是 第 三 玄  
ZH_X65_1282_001:0257a13	三山來云。虗空打鞦韆。頌曰。第三玄。囫圇沒中	001	三 山 來 云  虗 空 打 鞦 韆  頌 曰  第 三 玄  囫 圇 沒 中 
ZH_X65_1282_001:0257a14	邊。東洋飄大海。架箇無底船。	001	邊  東 洋 飄 大 海  架 箇 無 底 船  
ZH_X65_1282_001:0257a15	第一要。當風誰敢道。千聖一時興。那能窮此妙。	001	第 一 要  當 風 誰 敢 道  千 聖 一 時 興  那 能 窮 此 妙  
ZH_X65_1282_001:0257a16	三山來云。看此頌。猶是擬玄中玄而言者錯。	001	三 山 來 云  看 此 頌  猶 是 擬 玄 中 玄 而 言 者 錯  
ZH_X65_1282_001:0257a17	如何是第一要。	001	如 何 是 第 一 要  
ZH_X65_1282_001:0257a18	三山來云。頭頂烏紗帽。頌曰。第一要。寥廓空浩	001	三 山 來 云  頭 頂 烏 紗 帽  頌 曰  第 一 要  寥 廓 空 浩 
ZH_X65_1282_001:0257a19	浩。路斷烟水寒。行人那得到。	001	浩  路 斷 烟 水 寒  行 人 那 得 到  
ZH_X65_1282_001:0257a20	第二要。明鏡當臺照。胡漢用皆深。透匣青蛇躍。	001	第 二 要  明 鏡 當 臺 照  胡 漢 用 皆 深  透 匣 青 蛇 躍  
ZH_X65_1282_001:0257a21	三山來云。看此頌。亦是擬用中玄。而言者近之。	001	三 山 來 云  看 此 頌  亦 是 擬 用 中 玄  而 言 者 近 之  
ZH_X65_1282_001:0257a22	如何是第二要。	001	如 何 是 第 二 要  
ZH_X65_1282_001:0257a23	三山來云。午夜金雞呌。頌曰。第二要。妍媸一齊	001	三 山 來 云  午 夜 金 雞 呌  頌 曰  第 二 要  妍 媸 一 齊 
ZH_X65_1282_001:0257a24	照。縱橫妙用分。秦鏡當臺耀。	001	照  縱 橫 妙 用 分  秦 鏡 當 臺 耀  
ZH_X65_1282_001:0257b01	第三要。劫前者一竅。擬議問如何。拍手呵呵笑。	001	第 三 要  劫 前 者 一 竅  擬 議 問 如 何  拍 手 呵 呵 笑  
ZH_X65_1282_001:0257b02	三山來云。看此頌。猶是擬體中玄而言者錯。	001	三 山 來 云  看 此 頌  猶 是 擬 體 中 玄 而 言 者 錯  
ZH_X65_1282_001:0257b03	如何是第三要。	001	如 何 是 第 三 要  
ZH_X65_1282_001:0257b04	三山來云。城市街頭閙。頌曰。第三要。漫把朱絃	001	三 山 來 云  城 市 街 頭 閙  頌 曰  第 三 要  漫 把 朱 絃 
ZH_X65_1282_001:0257b05	操。流水與高山。彈出無生調。	001	操  流 水 與 高 山  彈 出 無 生 調  
ZH_X65_1282_001:0257b06	第一玄中有三要。木人空裏翻筋斗。八面玲瓏知是	001	第 一 玄 中 有 三 要  木 人 空 裏 翻 筋 斗  八 面 玲 瓏 知 是 
ZH_X65_1282_001:0257b07	誰。	001	誰  
ZH_X65_1282_001:0257b08	第一玄中第一要　青天腦裂霜無限。一葉凋時	001	第 一 玄 中 第 一 要  青 天 腦 裂 霜 無 限  一 葉 凋 時 
ZH_X65_1282_001:0257b09	萬葉凋。	001	萬 葉 凋  
ZH_X65_1282_001:0257b10	第一玄中第二要　天地漫漫無所在。乱山深處	001	第 一 玄 中 第 二 要  天 地 漫 漫 無 所 在  乱 山 深 處 
ZH_X65_1282_001:0257b11	一山高。	001	一 山 高  
ZH_X65_1282_001:0257b12	第一玄中第三要　玉龍用處應無浪。萬派江流	001	第 一 玄 中 第 三 要  玉 龍 用 處 應 無 浪  萬 派 江 流 
ZH_X65_1282_001:0257b13	萬派清。	001	萬 派 清  
ZH_X65_1282_001:0257b14	頌曰。天高地厚足窮根。帝網重重不許論。剎剎	001	頌 曰  天 高 地 厚 足 窮 根  帝 網 重 重 不 許 論  剎 剎 
ZH_X65_1282_001:0257b15	塵塵無盡藏。不須彈指叩玄門。	001	塵 塵 無 盡 藏  不 須 彈 指 叩 玄 門  
ZH_X65_1282_001:0257b16	第二玄中有三要。莫道鐵牛無伎倆。不憂水草不知	001	第 二 玄 中 有 三 要  莫 道 鐵 牛 無 伎 倆  不 憂 水 草 不 知 
ZH_X65_1282_001:0257b17	閑。	001	閑  
ZH_X65_1282_001:0257b18	第二玄中第一要　鐵馬嘶聲無蕩意。一波纔動	001	第 二 玄 中 第 一 要  鐵 馬 嘶 聲 無 蕩 意  一 波 纔 動 
ZH_X65_1282_001:0257b19	萬波隨。	001	萬 波 隨  
ZH_X65_1282_001:0257b20	第二玄中第二要　懶臥木牛忘水草。亂山堆裏	001	第 二 玄 中 第 二 要  懶 臥 木 牛 忘 水 草  亂 山 堆 裏 
ZH_X65_1282_001:0257b21	一身閑。	001	一 身 閑  
ZH_X65_1282_001:0257b22	第二玄中第三要　玉兔不知身照世。萬家樓上	001	第 二 玄 中 第 三 要  玉 兔 不 知 身 照 世  萬 家 樓 上 
ZH_X65_1282_001:0257b23	萬家明。	001	萬 家 明  
ZH_X65_1282_001:0257b24	頌曰。木人石女鬬玄機。電火光中尚笑遲。萬物	001	頌 曰  木 人 石 女 鬬 玄 機  電 火 光 中 尚 笑 遲  萬 物 
ZH_X65_1282_001:0257c01	會歸還委悉。一聲百雜碎須彌。	001	會 歸 還 委 悉  一 聲 百 雜 碎 須 彌  
ZH_X65_1282_001:0257c02	第三玄中有三要。劫外風光劫外春。不拘此際自相	001	第 三 玄 中 有 三 要  劫 外 風 光 劫 外 春  不 拘 此 際 自 相 
ZH_X65_1282_001:0257c03	親。	001	親  
