segmentnr	original	folio	analyzed
ZH_X86_1605_001:0495a07	繼燈錄序	001	繼 燈 錄 序 
ZH_X86_1605_001:0495a09	禪家歷世相傳。喻之為燈。取其能破暗以顯物。亦取	001	禪 家 歷 世 相 傳  喻 之 為 燈  取 其 能 破 暗 以 顯 物  亦 取 
ZH_X86_1605_001:0495a10	其能繼照於無盡也。自宋景德間道原大師始為傳	001	其 能 繼 照 於 無 盡 也  自 宋 景 德 間 道 原 大 師 始 為 傳 
ZH_X86_1605_001:0495a11	燈。嗣是則有廣燈．續燈．聯燈．普燈之作。所述互有詳	001	燈  嗣 是 則 有 廣 燈  續 燈  聯 燈  普 燈 之 作  所 述 互 有 詳 
ZH_X86_1605_001:0495a12	略。學者難以盡考。由是大川濟公合之為會元。始終	001	略  學 者 難 以 盡 考  由 是 大 川 濟 公 合 之 為 會 元  始 終 
ZH_X86_1605_001:0495a13	一貫。後學便之。功至渥也。若紹定以後諸師。會元未	001	一 貫  後 學 便 之  功 至 渥 也  若 紹 定 以 後 諸 師  會 元 未 
ZH_X86_1605_001:0495a14	及収者。猶賴續燈收之。但採錄未備。且止於宋末元	001	及 収 者  猶 賴 續 燈 收 之  但 採 錄 未 備  且 止 於 宋 末 元 
ZH_X86_1605_001:0495a15	初。自元以至今日將四百載。諸師霾光鏟彩未獲著	001	初  自 元 以 至 今 日 將 四 百 載  諸 師 霾 光 鏟 彩 未 獲 著 
ZH_X86_1605_001:0495a16	明於世。伊誰之責乎。愚不自揣。乃於戊子之春博採	001	明 於 世  伊 誰 之 責 乎  愚 不 自 揣  乃 於 戊 子 之 春 博 採 
ZH_X86_1605_001:0495a17	旁蒐冀以緝補前闕。至庚寅夏復得遠門柱公所輯	001	旁 蒐 冀 以 緝 補 前 闕  至 庚 寅 夏 復 得 遠 門 柱 公 所 輯 
ZH_X86_1605_001:0495a18	五燈續略。益補其所未備。無何而病作殊劇。歷三月	001	五 燈 續 略  益 補 其 所 未 備  無 何 而 病 作 殊 劇  歷 三 月 
ZH_X86_1605_001:0495a19	始愈。愈則目加昏耳加聾。手亦不能復親筆硯。故其	001	始 愈  愈 則 目 加 昏 耳 加 聾  手 亦 不 能 復 親 筆 硯  故 其 
ZH_X86_1605_001:0495a20	所錄尚闕成化以下。葢止乎其所不得不止也。錄凡	001	所 錄 尚 闕 成 化 以 下  葢 止 乎 其 所 不 得 不 止 也  錄 凡 
ZH_X86_1605_001:0495a21	六卷。名之曰繼燈。或謂禪家貴在心悟。語言文字其	001	六 卷  名 之 曰 繼 燈  或 謂 禪 家 貴 在 心 悟  語 言 文 字 其 
ZH_X86_1605_001:0495a22	糟粕也。何必連編累牘牽枝引蔓如五燈耶。況又益	001	糟 粕 也  何 必 連 編 累 牘 牽 枝 引 蔓 如 五 燈 耶  況 又 益 
ZH_X86_1605_001:0495a23	之為繼燈耶。是不知言可以障道。亦可以載道。執之	001	之 為 繼 燈 耶  是 不 知 言 可 以 障 道  亦 可 以 載 道  執 之 
ZH_X86_1605_001:0495a24	則精醇即為糟粕。了之則糟粕皆為精醇。言顧可盡	001	則 精 醇 即 為 糟 粕  了 之 則 糟 粕 皆 為 精 醇  言 顧 可 盡 
ZH_X86_1605_001:0495b01	廢歟。至其所錄或詳或略。則亦因其時與機之不同。	001	廢 歟  至 其 所 錄 或 詳 或 略  則 亦 因 其 時 與 機 之 不 同  
ZH_X86_1605_001:0495b02	其勢不得不然也。如少林面壁二祖安心。此則上古	001	其 勢 不 得 不 然 也  如 少 林 面 壁 二 祖 安 心  此 則 上 古 
ZH_X86_1605_001:0495b03	結繩之政也。繼而有信心銘．法寶壇經。則軒轅之書	001	結 繩 之 政 也  繼 而 有 信 心 銘  法 寶 壇 經  則 軒 轅 之 書 
ZH_X86_1605_001:0495b04	契也。唐世馬祖石頭二派浩浩說禪。非三代之禮樂	001	契 也  唐 世 馬 祖 石 頭 二 派 浩 浩 說 禪  非 三 代 之 禮 樂 
ZH_X86_1605_001:0495b05	乎。宋世五派競興五燈迭出。非洙泗之六經乎。時當	001	乎  宋 世 五 派 競 興 五 燈 迭 出  非 洙 泗 之 六 經 乎  時 當 
ZH_X86_1605_001:0495b06	略則結繩不為少。時當詳則六經不為多。要在逗眾	001	略 則 結 繩 不 為 少  時 當 詳 則 六 經 不 為 多  要 在 逗 眾 
ZH_X86_1605_001:0495b07	生之機以明本有之性而已。若責春秋之民曰何不	001	生 之 機 以 明 本 有 之 性 而 已  若 責 春 秋 之 民 曰 何 不 
ZH_X86_1605_001:0495b08	為結繩之簡。不亦悖乎。至今日而猶有作者。非得已	001	為 結 繩 之 簡  不 亦 悖 乎  至 今 日 而 猶 有 作 者  非 得 已 
ZH_X86_1605_001:0495b09	也。政如六經之後復有孟氏之七篇道性善稱堯舜	001	也  政 如 六 經 之 後 復 有 孟 氏 之 七 篇 道 性 善 稱 堯 舜 
ZH_X86_1605_001:0495b10	倡仁義息邪說。亦以明先王之道耳。豈曰益之而為	001	倡 仁 義 息 邪 說  亦 以 明 先 王 之 道 耳  豈 曰 益 之 而 為 
ZH_X86_1605_001:0495b11	贅哉。若夫所錄混濫。弗當於西來之旨。則如王通之	001	贅 哉  若 夫 所 錄 混 濫  弗 當 於 西 來 之 旨  則 如 王 通 之 
ZH_X86_1605_001:0495b12	五經。雖自謂可繼孔氏。而不自知實塵飯塗羹之戲	001	五 經  雖 自 謂 可 繼 孔 氏  而 不 自 知 實 塵 飯 塗 羹 之 戲 
ZH_X86_1605_001:0495b13	也。其罪戾不亦重乎。此則吾之所深懼而不能自迯	001	也  其 罪 戾 不 亦 重 乎  此 則 吾 之 所 深 懼 而 不 能 自 迯 
ZH_X86_1605_001:0495b14	者。尚當質之大方以俟郢削云。	001	者  尚 當 質 之 大 方 以 俟 郢 削 云  
ZH_X86_1605_001:0495b15	歲在辛卯秋九月下浣之吉鼓山嗣祖沙門元贒序	001	歲 在 辛 卯 秋 九 月 下 浣 之 吉 鼓 山 嗣 祖 沙 門 元 贒 序 
ZH_X86_1605_001:0495b16	於聖箭堂中	001	於 聖 箭 堂 中 
ZH_X86_1605_001:0495c04	凡例七條	001	凡 例 七 條 
ZH_X86_1605_001:0495c06	宗派舊有五。今惟臨濟曹洞二宗。臨濟宗會元終	001	宗 派 舊 有 五  今 惟 臨 濟 曹 洞 二 宗  臨 濟 宗 會 元 終 
