segmentnr	original	folio	analyzed
ZH_X15_0301_001:0218a04	釋教總論	001	釋 教 總 論 
ZH_X15_0301_001:0218a05	人之恒性。廼上帝降衷。人所同具者。以其無思無為	001	人 之 恒 性  廼 上 帝 降 衷  人 所 同 具 者  以 其 無 思 無 為 
ZH_X15_0301_001:0218a06	故。謂之寂。以其不可覩聞故。謂之微。以其無物故。謂	001	故  謂 之 寂  以 其 不 可 覩 聞 故  謂 之 微  以 其 無 物 故  謂 
ZH_X15_0301_001:0218a07	之虗。以其無欲故。謂之靜。以其智周萬物故。謂之覺。	001	之 虗  以 其 無 欲 故  謂 之 靜  以 其 智 周 萬 物 故  謂 之 覺  
ZH_X15_0301_001:0218a08	而其歸不出於無之一。言無者有之基也。故寂以通	001	而 其 歸 不 出 於 無 之 一  言 無 者 有 之 基 也  故 寂 以 通 
ZH_X15_0301_001:0218a09	天下之感。靜以貞天下之動。微以效天下之顯。虗以	001	天 下 之 感  靜 以 貞 天 下 之 動  微 以 效 天 下 之 顯  虗 以 
ZH_X15_0301_001:0218a10	御天下之實。覺以神天下之應。是謂千聖相傳無所	001	御 天 下 之 實  覺 以 神 天 下 之 應  是 謂 千 聖 相 傳 無 所 
ZH_X15_0301_001:0218a11	倚之學。漢儒徒以訓詁為學。補綴張皇攷訂於形名	001	倚 之 學  漢 儒 徒 以 訓 詁 為 學  補 綴 張 皇 攷 訂 於 形 名 
ZH_X15_0301_001:0218a12	器數之末。取古聖賢已行之跡。著為典要。相守以為	001	器 數 之 末  取 古 聖 賢 已 行 之 跡  著 為 典 要  相 守 以 為 
ZH_X15_0301_001:0218a13	世法。不知以無為用。彼佛氏者。見吾儒學術之弊。奮	001	世 法  不 知 以 無 為 用  彼 佛 氏 者  見 吾 儒 學 術 之 弊  奮 
ZH_X15_0301_001:0218a14	然攘臂其間。取吾學之精義。據而有之於己。凡古聖	001	然 攘 臂 其 間  取 吾 學 之 精 義  據 而 有 之 於 己  凡 古 聖 
ZH_X15_0301_001:0218a15	賢已行之跡。一切掃歸於無。而吾儒廼競競自守。拘	001	賢 已 行 之 跡  一 切 掃 歸 於 無  而 吾 儒 廼 競 競 自 守  拘 
ZH_X15_0301_001:0218a16	滯於形器之中。終身煩惱而不自覺。語及虗寂則曰。	001	滯 於 形 器 之 中  終 身 煩 惱 而 不 自 覺  語 及 虗 寂 則 曰  
ZH_X15_0301_001:0218a17	此異端之教也。避之惟恐不及。不知佛氏所謂虗寂	001	此 異 端 之 教 也  避 之 惟 恐 不 及  不 知 佛 氏 所 謂 虗 寂 
ZH_X15_0301_001:0218a18	本吾儒之故物。彼直竊而據焉。韓歐原道本論。欲以	001	本 吾 儒 之 故 物  彼 直 竊 而 據 焉  韓 歐 原 道 本 論  欲 以 
ZH_X15_0301_001:0218a19	虗聲嚇之。直指其粗迹耳。請言其精。有謂吾儒之學	001	虗 聲 嚇 之  直 指 其 粗 迹 耳  請 言 其 精  有 謂 吾 儒 之 學 
ZH_X15_0301_001:0218a20	主於經世。佛氏之學主於出世。以為公私之辨者矣。	001	主 於 經 世  佛 氏 之 學 主 於 出 世  以 為 公 私 之 辨 者 矣  
ZH_X15_0301_001:0218a21	有謂躭悅禪味。偏於靜虗者矣。有謂絕情去念。流於	001	有 謂 躭 悅 禪 味  偏 於 靜 虗 者 矣  有 謂 絕 情 去 念  流 於 
ZH_X15_0301_001:0218a22	斷滅者矣。有謂經是言詮。直指單傳不立文字者矣。	001	斷 滅 者 矣  有 謂 經 是 言 詮  直 指 單 傳 不 立 文 字 者 矣  
ZH_X15_0301_001:0218a23	夫佛氏慈悲喜捨普度眾生。雖身命。有所不惜。未嘗	001	夫 佛 氏 慈 悲 喜 捨 普 度 眾 生  雖 身 命  有 所 不 惜  未 嘗 
ZH_X15_0301_001:0218a24	自私也。偏於靜虗乃二乘見解。若上乘之禪。從塵勞	001	自 私 也  偏 於 靜 虗 乃 二 乘 見 解  若 上 乘 之 禪  從 塵 勞 
ZH_X15_0301_001:0218b01	煩惱中作佛事。於眾生心行中覓佛法。未嘗厭動而	001	煩 惱 中 作 佛 事  於 眾 生 心 行 中 覓 佛 法  未 嘗 厭 動 而 
ZH_X15_0301_001:0218b02	有所偏也。最上乘之禪亦以斷滅為外道。於念離念。	001	有 所 偏 也  最 上 乘 之 禪 亦 以 斷 滅 為 外 道  於 念 離 念  
ZH_X15_0301_001:0218b03	即情忘情。不即不離。是究竟法。未嘗絕情去念也。經	001	即 情 忘 情  不 即 不 離  是 究 竟 法  未 嘗 絕 情 去 念 也  經 
ZH_X15_0301_001:0218b04	何有過。何妨於誦。此不立文字。便是文字之相。出息	001	何 有 過  何 妨 於 誦  此 不 立 文 字  便 是 文 字 之 相  出 息 
ZH_X15_0301_001:0218b05	不涉於眾緣。入息不居於陰界。是謂轉經要法。不能	001	不 涉 於 眾 緣  入 息 不 居 於 陰 界  是 謂 轉 經 要 法  不 能 
ZH_X15_0301_001:0218b06	心悟。反為法華所轉。始落言詮爾。此其大凡也。善乎	001	心 悟  反 為 法 華 所 轉  始 落 言 詮 爾  此 其 大 凡 也  善 乎 
ZH_X15_0301_001:0218b07	文中子之言曰。佛為西方之聖人。中圀則泥。盖吾儒	001	文 中 子 之 言 曰  佛 為 西 方 之 聖 人  中 圀 則 泥  盖 吾 儒 
ZH_X15_0301_001:0218b08	之學。以萬物各得其所為盡性。佛氏之教。欲使萬物	001	之 學  以 萬 物 各 得 其 所 為 盡 性  佛 氏 之 教  欲 使 萬 物 
ZH_X15_0301_001:0218b09	同歸寂滅。不可以治天下圀。家是則所謂泥也。此又	001	同 歸 寂 滅  不 可 以 治 天 下 圀  家 是 則 所 謂 泥 也  此 又 
ZH_X15_0301_001:0218b10	為儒者所當知。龍溪王　畿　譔	001	為 儒 者 所 當 知  龍 溪 王  畿  譔 
ZH_X15_0301_001:0218b17	譯經便覽	001	譯 經 便 覽 
ZH_X15_0301_001:0218b18	王鳳洲曰。王荊公以誤解三昧字。為釋門所譏。余久	001	王 鳳 洲 曰  王 荊 公 以 誤 解 三 昧 字  為 釋 門 所 譏  余 久 
