segmentnr	original	analyzed	translated
['ZH_T27_1545_005:0020c09_14']	雖說一心而未釋義。	雖說一心而未釋義。	Although it is said to be a single mind, the meaning has not yet been explained.
['ZH_T27_1545_005:0020c10_6']	何故此法非多心耶。	何故此法非多心耶。	Why is this dharma not many minds?
['ZH_T27_1545_005:0020c10_15']	非但有言義則可了。	非但有言義則可了。	The meaning cannot be understood merely by words.
['ZH_T27_1545_005:0020c11_7']	答從此心心所法無間。	答從此心心所法無間。	The answer is: immediately after this mind and mental factors,
['ZH_T27_1545_005:0020c12_2']	不起餘世間心唯起出世心。	不起餘世間心唯起出世心。	no other worldly mind arises, only the supramundane mind arises.
['ZH_T27_1545_005:0020c12_13']	世間心者謂有漏墮有心。	世間心者謂有漏墮有心。	The worldly mind refers to the defiled mind that falls into existence.
['ZH_T27_1545_005:0020c13_7']	即所遮止第二念等世第一法。	即所遮止第二念等世第一法。	It is the second moment and so on of the supreme worldly dharmas that are being refuted.
['ZH_T27_1545_005:0020c13_12']	出世心者。	出世心者。	The supramundane mind refers to
['ZH_T27_1545_005:0020c13_19']	謂無漏斷有心。	謂無漏斷有心。	the undefiled mind that cuts off existence.
['ZH_T27_1545_005:0020c14_12']	即所引起苦法智忍相應之心。	即所引起苦法智忍相應之心。	It is the mind associated with the acceptance of the knowledge of the dharma with regard to suffering that is being aroused.
['ZH_T27_1545_005:0020c15_4']	若當起餘世間心者。	若當起餘世間心者。	If another worldly mind were to arise,
['ZH_T27_1545_005:0020c15_11']	為劣為等為勝。	為劣為等為勝。	would it be inferior, equal, or superior?
['ZH_T27_1545_005:0020c15_16']	無有是處。	無有是處。	This is impossible.
['ZH_T27_1545_005:0020c16_7']	為分別故假設斯問。	為分別故假設斯問。	The question is hypothetically posed for the sake of discrimination.
['ZH_T27_1545_005:0020c16_12']	劣等勝者。	劣等勝者。	The inferior, equal, and superior ones
['ZH_T27_1545_005:0020c16_17']	對前剎那。	對前剎那。	refer to the preceding moment.
['ZH_T27_1545_005:0020c17_3']	但有三故。	但有三故。	There are only three possibilities.
['ZH_T27_1545_005:0020c17_16']	若當劣者應不能入正性離生。	若當劣者應不能入正性離生。	If it were inferior, it should not be able to enter the correct separation from birth.
['ZH_T27_1545_005:0020c18_2']	何以故。	何以故。	Why is it so?
['ZH_T27_1545_005:0020c18_14']	非以退道能入正性離生故。	非以退道能入正性離生故。	It is because the path of retrogression cannot enter the correct separation from birth.
['ZH_T27_1545_005:0020c19_15']	謂非衰退萎悴墜落破壞之道能入正性離生。	謂非衰退萎悴墜落破壞之道能入正性離生。	That is to say, the path of retrogression, decay, depression, falling, breaking, and destruction cannot enter the correct separation from birth.
['ZH_T27_1545_005:0020c20_10']	要以勝進增盛勇猛堅固之道。	要以勝進增盛勇猛堅固之道。	It is necessary to rely on the path of progress, increase, vigor, firmness, and solidity.
['ZH_T27_1545_005:0020c21_1']	能入正性離生故。	能入正性離生故。	Only then can one enter the correct separation from birth.
['ZH_T27_1545_005:0020c21_6']	若當等者。	若當等者。	If it were equal,
['ZH_T27_1545_005:0020c21_15']	亦不能入正性離生。	亦不能入正性離生。	it also would not be able to enter the correct separation from birth.
['ZH_T27_1545_005:0020c21_19']	何以故。	何以故。	Why is it so?
['ZH_T27_1545_005:0020c22_13']	先以此類道不能入正性離生故。	先以此類道不能入正性離生故。	It is because this type of path was previously unable to enter the correct separation from birth.
['ZH_T27_1545_005:0020c23_3']	謂此初後品類。	謂此初後品類。	That is to say, this initial and subsequent type
['ZH_T27_1545_005:0020c23_10']	相似如初剎那。	相似如初剎那。	is similar to the initial moment.
['ZH_T27_1545_005:0020c23_17']	有障礙有留難。	有障礙有留難。	It has obstacles and hindrances,
['ZH_T27_1545_005:0020c24_3']	無勢力故。	無勢力故。	and lacks power.
['ZH_T27_1545_005:0020c24_11']	不能入正性離生。	不能入正性離生。	Therefore, it cannot enter the correct separation from birth.
['ZH_T27_1545_005:0020c25_7']	後諸剎那亦應如是如初剎那。	後諸剎那亦應如是如初剎那。	The subsequent moments should also be like this, just like the initial moment.
['ZH_T27_1545_005:0020c25_16']	不能無間引起聖道。	不能無間引起聖道。	It cannot immediately give rise to the noble path.
['ZH_T27_1545_005:0020c26_7']	後諸剎那亦應如是。	後諸剎那亦應如是。	The subsequent moments should also be like this.
['ZH_T27_1545_005:0020c26_12']	品類同故。	品類同故。	Because the types are the same.
['ZH_T27_1545_005:0020c27_7']	則應究竟不能證入正性離生。	則應究竟不能證入正性離生。	Then one would be ultimately unable to realize and enter the state of certainty beyond birth.
['ZH_T27_1545_005:0020c27_16']	如是應無解脫出離。	如是應無解脫出離。	In this way, there would be no liberation or escape.
['ZH_T27_1545_005:0020c28_4', 'ZH_T27_1545_005:0020c28_12']	若當勝者。🔽先應非世第一法。	若當勝者。 先應非世第一法。	If it were superior,🔽it should not be the supreme worldly dharma first,
['ZH_T27_1545_005:0020c29_2']	後方是世第一法。	後方是世第一法。	and only later be the supreme worldly dharma.
['ZH_T27_1545_005:0020c29_9']	以世第一法聲。	以世第一法聲。	Because the term supreme worldly dharma
['ZH_T27_1545_005:0020c29_16']	顯最勝等義故。	顯最勝等義故。	expresses the meaning of supreme excellence, etc.
['ZH_T27_1545_005:0021a01_8']	問先者既非世第一法。	問先者既非世第一法。	Question: If the former is not the supreme worldly dharma,
['ZH_T27_1545_005:0021a01_13']	為是何法。	為是何法。	what dharma is it?
['ZH_T27_1545_005:0021a02_1', 'ZH_T27_1545_005:0021a02_13']	答是增上忍。🔽問何故見道唯勝加行無間。	答是增上忍。 問何故見道唯勝加行無間。	Answer: It is the supreme forbearance.
['ZH_T27_1545_005:0021a03_1']	引生於修道。	引生於修道。	Question: Why does the path of seeing only give rise to the path of cultivation immediately after the supreme worldly dharma,
['ZH_T27_1545_005:0021a03_7', 'ZH_T27_1545_005:0021a03_12']	中引生聖道。🔽通劣等勝。	中引生聖道。 通劣等勝。	and not give rise to the noble path?
['ZH_T27_1545_005:0021a04_3', 'ZH_T27_1545_005:0021a04_8']	答以見道是未曾得道。🔽要多功用。	答以見道是未曾得道。 要多功用。	Answer: The path of seeing is a previously unattained path,
['ZH_T27_1545_005:0021a04_13']	加行作意。	加行作意。	and requires much effort and intention in practice
['ZH_T27_1545_005:0021a04_18']	方能現前。	方能現前。	in order to manifest.
['ZH_T27_1545_005:0021a05_5']	是故唯勝加行。	是故唯勝加行。	Therefore, only the superior practice
['ZH_T27_1545_005:0021a05_10']	引起修道。	引起修道。	can give rise to the path of cultivation.
['ZH_T27_1545_005:0021a05_17', 'ZH_T27_1545_005:0021a06_4']	既是本曾得道。🔽不多功用。	既是本曾得道。 不多功用。	Since it is a previously attained path,
['ZH_T27_1545_005:0021a06_13']	加行作意而現在前。	加行作意而現在前。	it does not require much effort and intention in practice to manifest.
['ZH_T27_1545_005:0021a07_3']	故劣等勝皆能引起。	故劣等勝皆能引起。	Therefore, it can give rise to the inferior, equal, and superior [paths].
['ZH_T27_1545_005:0021a07_13']	然世第一法與第一法。	然世第一法與第一法。	However, the supreme worldly dharmas and the supreme dharmas,
['ZH_T27_1545_005:0021a08_2']	為因緣增上緣。	為因緣增上緣。	are the conditions of cause and dominant condition.
['ZH_T27_1545_005:0021a08_9']	因緣者有三因。	因緣者有三因。	The conditions of cause have three causes,
['ZH_T27_1545_005:0021a08_14', 'ZH_T27_1545_005:0021a08_18']	謂相應因。🔽俱有因。	謂相應因。 俱有因。	namely, the condition of association,🔽the condition of co-existence,
['ZH_T27_1545_005:0021a09_2']	同類因。	同類因。	and the condition of the same type.
['ZH_T27_1545_005:0021a09_7']	此是總說。	此是總說。	This is a general statement.
['ZH_T27_1545_005:0021a09_12']	若別說者。	若別說者。	If explained in detail,
['ZH_T27_1545_005:0021a10_2']	過去與過去為二因。	過去與過去為二因。	the past [dharmas] are two causes for the past [dharmas],
['ZH_T27_1545_005:0021a10_8']	謂相應俱有。	謂相應俱有。	namely, the condition of association and the condition of co-existence.
['ZH_T27_1545_005:0021a10_15']	與未來為一因。	與未來為一因。	They are one cause for the future,
['ZH_T27_1545_005:0021a11_8']	謂同類未來與未來為二因。	謂同類未來與未來為二因。	namely, the condition of the same type. The future [dharmas] are two causes for the future [dharmas],
['ZH_T27_1545_005:0021a11_14']	謂相應俱有。	謂相應俱有。	namely, the condition of association and the condition of co-existence.
['ZH_T27_1545_005:0021a12_5']	現在與現在為二因。	現在與現在為二因。	The present [dharmas] are two causes for the present [dharmas],
['ZH_T27_1545_005:0021a12_11']	謂相應俱有。	謂相應俱有。	namely, the condition of association and the condition of co-existence.
['ZH_T27_1545_005:0021a12_18']	與未來為一因。	與未來為一因。	They are one cause for the future,
['ZH_T27_1545_005:0021a13_7']	謂同類增上緣者。	謂同類增上緣者。	namely, the condition of the same type. The dominant condition is
['ZH_T27_1545_005:0021a13_16']	謂不礙生及唯不障。	謂不礙生及唯不障。	that which does not obstruct arising and only does not hinder.
['ZH_T27_1545_005:0021a14_4']	世第一法。	世第一法。	The supreme worldly dharmas,
['ZH_T27_1545_005:0021a14_11']	當言退不退耶。	當言退不退耶。	should they be said to be retrogressive or non-retrogressive?
['ZH_T27_1545_005:0021a14_16']	乃至廣說。	乃至廣說。	And so on at length.
['ZH_T27_1545_005:0021a15_4']	問何故作此論。	問何故作此論。	Question: Why is this treatise composed?
['ZH_T27_1545_005:0021a15_14']	答雖已說彼一心非多。	答雖已說彼一心非多。	Answer: Although it has already been said that they are one mind and not many,
['ZH_T27_1545_005:0021a16_5']	而未分別為退不退。	而未分別為退不退。	it has not yet been distinguished whether they are retrogressive or non-retrogressive.
['ZH_T27_1545_005:0021a16_14']	今欲分別故作此論。	今欲分別故作此論。	Now, in order to make distinctions, this treatise is composed.
['ZH_T27_1545_005:0021a17_7']	復次為止他宗顯正義故。	復次為止他宗顯正義故。	Moreover, in order to refute other schools and reveal the correct principle.
['ZH_T27_1545_005:0021a17_12']	謂或有執。	謂或有執。	That is to say, some hold the view that
['ZH_T27_1545_005:0021a18_3']	世第一法亦有退者。	世第一法亦有退者。	the supreme worldly dharmas can also retrogress.
['ZH_T27_1545_005:0021a18_8']	為止彼意。	為止彼意。	In order to refute this idea,
['ZH_T27_1545_005:0021a19_3']	顯示此法決定不退故作斯論。	顯示此法決定不退故作斯論。	to reveal that this dharma is definitely non-retrogressing, this treatise is composed.
['ZH_T27_1545_005:0021a19_14']	世第一法當言退不退耶。	世第一法當言退不退耶。	Should the supreme worldly dharmas be said to retrogress or not retrogress?
['ZH_T27_1545_005:0021a20_2']	答應言不退。	答應言不退。	Answer: It should be said that they do not retrogress.
['ZH_T27_1545_005:0021a20_15']	雖有此說應更顯示不退因緣。	雖有此說應更顯示不退因緣。	Although there is this statement, the reasons for non-retrogressing should be further revealed.
['ZH_T27_1545_005:0021a21_6']	非但有言義便顯了。	非但有言義便顯了。	It is not that the meaning is made clear merely by words.
['ZH_T27_1545_005:0021a21_15']	何故此法定不退耶。	何故此法定不退耶。	Why is this dharma definitely non-retrogressing?
['ZH_T27_1545_005:0021a22_2']	答世第一法。	答世第一法。	Answer: The supreme worldly dharmas
['ZH_T27_1545_005:0021a22_12']	隨順諦趣向諦臨入諦。	隨順諦趣向諦臨入諦。	accord with the truth, approach the truth, and are about to enter the truth.
['ZH_T27_1545_005:0021a22_17', 'ZH_T27_1545_005:0021a23_7']	此彼中間。🔽無容得起不相似心。	此彼中間。 無容得起不相似心。	Between this and that,🔽there is no room for the arising of dissimilar thoughts,
['ZH_T27_1545_005:0021a23_16']	令不得入聖諦現觀。	令不得入聖諦現觀。	causing one to be unable to enter into the realization of the noble truths.
['ZH_T27_1545_005:0021a24_8']	問云何名為隨順諦。	問云何名為隨順諦。	Question: What is meant by accord with the truth,
['ZH_T27_1545_005:0021a24_12']	趣向諦。	趣向諦。	approach the truth,
['ZH_T27_1545_005:0021a24_17']	臨入諦耶。	臨入諦耶。	and are about to enter the truth?
['ZH_T27_1545_005:0021a25_9']	有說此中現觀說名為諦。	有說此中現觀說名為諦。	Some say that here, realization is called the truth.
['ZH_T27_1545_005:0021a25_15']	謂世第一法。	謂世第一法。	That is to say, the supreme worldly dharmas.
['ZH_T27_1545_005:0021a26_2']	隨順現觀。	隨順現觀。	It is in accordance with realization.
['ZH_T27_1545_005:0021a26_7']	趣向現觀。	趣向現觀。	It is directed towards realization.
['ZH_T27_1545_005:0021a26_12']	臨入現觀。	臨入現觀。	It is about to enter realization.
['ZH_T27_1545_005:0021a27_4']	有說此中道諦說名為諦。	有說此中道諦說名為諦。	Some say that in this context the truth of the path is called the truth.
['ZH_T27_1545_005:0021a27_10', 'ZH_T27_1545_005:0021a27_15']	謂世第一法。🔽隨順道諦。	謂世第一法。 隨順道諦。	That is, the supreme worldly dharmas.🔽It is in accordance with the truth of the path.
['ZH_T27_1545_005:0021a28_1']	趣向道諦。	趣向道諦。	It is directed towards the truth of the path.
['ZH_T27_1545_005:0021a28_6']	臨入道諦。	臨入道諦。	It is about to enter the truth of the path.
['ZH_T27_1545_005:0021a28_17']	有說此中見道說名為諦。	有說此中見道說名為諦。	Some say that in this context the path of seeing is called the truth.
['ZH_T27_1545_005:0021a29_4', 'ZH_T27_1545_005:0021a29_9']	謂世第一法。🔽隨順見道。	謂世第一法。 隨順見道。	That is, the supreme worldly dharmas.🔽It is in accordance with the path of seeing.
['ZH_T27_1545_005:0021a29_14']	趣向見道。	趣向見道。	It is directed towards the path of seeing.
['ZH_T27_1545_005:0021a29_19']	臨入見道。	臨入見道。	It is about to enter the path of seeing.
['ZH_T27_1545_005:0021b01_10']	有說此中苦諦說名為諦。	有說此中苦諦說名為諦。	Some say that in this context the truth of suffering is called the truth.
['ZH_T27_1545_005:0021b01_16', 'ZH_T27_1545_005:0021b02_3']	謂世第一法。🔽隨順苦諦。	謂世第一法。 隨順苦諦。	That is, the supreme worldly dharmas.🔽It is in accordance with the truth of suffering.
['ZH_T27_1545_005:0021b02_8']	趣向苦諦。	趣向苦諦。	It is directed towards the truth of suffering.
['ZH_T27_1545_005:0021b02_13']	臨入苦諦。	臨入苦諦。	It is about to enter the truth of suffering.
['ZH_T27_1545_005:0021b03_5']	有說此中苦法智忍名諦。	有說此中苦法智忍名諦。	Some say that in this context the acceptance of the knowledge of the dharma of suffering is called the truth.
['ZH_T27_1545_005:0021b03_11', 'ZH_T27_1545_005:0021b03_18']	謂世第一法。🔽隨順苦法智忍。	謂世第一法。 隨順苦法智忍。	That is, the supreme worldly dharmas.🔽It is in accordance with the acceptance of the knowledge of the dharma of suffering.
['ZH_T27_1545_005:0021b04_6']	趣向苦法智忍。	趣向苦法智忍。	It is directed towards the acceptance of the knowledge of the dharma of suffering.
['ZH_T27_1545_005:0021b04_13']	臨入苦法智忍。	臨入苦法智忍。	It is about to enter the acceptance of the knowledge of the dharma of suffering.
['ZH_T27_1545_005:0021b05_4']	然於此中隨順有二。	然於此中隨順有二。	However, in this context there are two kinds of accordance.
['ZH_T27_1545_005:0021b05_10']	一趣向隨順。	一趣向隨順。	The first is the accordance of being directed towards.
['ZH_T27_1545_005:0021b05_16']	二臨入隨順。	二臨入隨順。	The second is the accordance of being about to enter.
['ZH_T27_1545_005:0021b06_1']	世第一法。	世第一法。	The supreme worldly dharmas.
['ZH_T27_1545_005:0021b06_7']	於苦法智忍。	於苦法智忍。	In the receptivity to the knowledge of the dharmas of suffering.
['ZH_T27_1545_005:0021b06_12']	具二隨順。	具二隨順。	Possesses two kinds of conformity.
['ZH_T27_1545_005:0021b06_18']	為等無間緣。	為等無間緣。	As the immediately antecedent condition.
['ZH_T27_1545_005:0021b07_3']	引生彼故。	引生彼故。	Because it induces the arising of that [receptivity].
['ZH_T27_1545_005:0021b07_8']	此彼中間。	此彼中間。	In the interval between this [supreme worldly dharma] and that [receptivity],
['ZH_T27_1545_005:0021b08_1']	無容得起不相似心者。	無容得起不相似心者。	There is no possibility of giving rise to a dissimilar mind.
['ZH_T27_1545_005:0021b08_8']	謂此世第一法。	謂此世第一法。	That is to say, between this supreme worldly dharma
['ZH_T27_1545_005:0021b08_16']	彼苦法智忍中間。	彼苦法智忍中間。	And that receptivity to the knowledge of the dharmas of suffering,
['ZH_T27_1545_005:0021b09_10']	無容得起有漏墮有不相似心。	無容得起有漏墮有不相似心。	There is no possibility of giving rise to a defiled mind that falls into existence and is dissimilar.
['ZH_T27_1545_005:0021b10_3']	令不得入聖諦現觀者。	令不得入聖諦現觀者。	It prevents one from entering into the direct realization of the noble truths.
['ZH_T27_1545_005:0021b10_14']	謂令苦法智忍不得現前。	謂令苦法智忍不得現前。	That is to say, it prevents the receptivity to the knowledge of the dharmas of suffering from being able to manifest.
['ZH_T27_1545_005:0021b11_2']	問世第一法。	問世第一法。	Question: The supreme worldly dharmas,
['ZH_T27_1545_005:0021b11_11']	既是有漏與無漏心。	既是有漏與無漏心。	Since they are defiled and dissimilar to the undefiled mind,
['ZH_T27_1545_005:0021b11_16', 'ZH_T27_1545_005:0021b12_11']	可不相似。🔽何故乃說有漏墮有心名不相似。	可不相似。 何故乃說有漏墮有心名不相似。	Why are they called dissimilar?
['ZH_T27_1545_005:0021b13_4']	無漏斷有心名相似耶。	無漏斷有心名相似耶。	Why is it that the undefiled mind that cuts off existence is called similar?
['ZH_T27_1545_005:0021b13_10']	答世第一法。	答世第一法。	Answer: The supreme worldly dharmas,
['ZH_T27_1545_005:0021b13_15']	厭惡有漏。	厭惡有漏。	Disdain defiled [dharmas],
['ZH_T27_1545_005:0021b14_1']	趣向無漏。	趣向無漏。	And aspire towards the undefiled.
['ZH_T27_1545_005:0021b14_10']	故說有漏名不相似。	故說有漏名不相似。	Therefore, defiled [dharmas] are called dissimilar,
['ZH_T27_1545_005:0021b14_16']	無漏名相似。	無漏名相似。	And the undefiled are called similar.
['ZH_T27_1545_005:0021b15_3']	背此向彼故。	背此向彼故。	Because they turn away from this [defiled] and aspire towards that [undefiled].
['ZH_T27_1545_005:0021b15_16']	猶如有人為自親里之所苦惱。	猶如有人為自親里之所苦惱。	It is like a person who is tormented by their own relatives.
['ZH_T27_1545_005:0021b16_7', 'ZH_T27_1545_005:0021b16_16']	依附他人以為救護。🔽於自親里作他人想。	依附他人以為救護。 於自親里作他人想。	Relying on others as their savior.🔽Regarding their own relatives as others.
['ZH_T27_1545_005:0021b17_7']	於他人處作親里想。	於他人處作親里想。	Regarding others as relatives.
['ZH_T27_1545_005:0021b17_12']	此亦如是。	此亦如是。	This is also like that.
['ZH_T27_1545_005:0021b17_17']	復有說者。	復有說者。	Furthermore, there are those who say:
['ZH_T27_1545_005:0021b18_3']	世第一法。	世第一法。	The supreme worldly dharmas.
['ZH_T27_1545_005:0021b18_14']	以與苦法智忍同辦一事。	以與苦法智忍同辦一事。	With the acceptance of the knowledge of the dharmas of suffering accomplishing the same task.
['ZH_T27_1545_005:0021b19_3']	謂捨異生性等。	謂捨異生性等。	Namely, abandoning the nature of ordinary beings, etc.
['ZH_T27_1545_005:0021b19_8', 'ZH_T27_1545_005:0021b19_13']	故說有漏。🔽名不相似。	故說有漏。 名不相似。	Therefore, it is said to be defiled.🔽It is called dissimilar.
['ZH_T27_1545_005:0021b19_19']	無漏名相似。	無漏名相似。	The undefiled is called similar.
['ZH_T27_1545_005:0021b20_5']	同辦一事故。	同辦一事故。	Because it accomplishes the same task.
['ZH_T27_1545_005:0021b20_10']	為於前義。	為於前義。	For the sake of the previous meaning.
['ZH_T27_1545_005:0021b20_15']	乃至愚夫。	乃至愚夫。	Up to the foolish and ignorant.
['ZH_T27_1545_005:0021b21_1']	亦能解了。	亦能解了。	Are also able to understand.
['ZH_T27_1545_005:0021b21_6']	故說現喻。	故說現喻。	Therefore, a present analogy is given.
['ZH_T27_1545_005:0021b22_3']	譬如壯士渡河渡谷渡山渡崖。	譬如壯士渡河渡谷渡山渡崖。	It is like a strong man crossing a river, crossing a valley, crossing a mountain, crossing a cliff.
['ZH_T27_1545_005:0021b22_10']	中間無能迴轉。	中間無能迴轉。	In the middle, he is unable to turn back.
['ZH_T27_1545_005:0021b22_17']	彼身還至本處。	彼身還至本處。	His body returns to its original place.
['ZH_T27_1545_005:0021b23_4']	或往餘處。	或往餘處。	Or goes to another place.
['ZH_T27_1545_005:0021b23_9']	先所發起。	先所發起。	What was previously initiated.
['ZH_T27_1545_005:0021b23_18']	增上身行未至所趣。	增上身行未至所趣。	The superior bodily actions have not yet reached their destination.
['ZH_T27_1545_005:0021b24_4']	必不止息。	必不止息。	They will certainly not cease.
['ZH_T27_1545_005:0021b24_13']	世第一法亦復如是。	世第一法亦復如是。	The supreme worldly dharmas are also like this.
['ZH_T27_1545_005:0021b24_17']	隨順諦。	隨順諦。	In accordance with the truth.🔽Approaching the truth.
['ZH_T27_1545_005:0021b25_2', 'ZH_T27_1545_005:0021b25_6']	趣向諦。🔽臨入諦。	趣向諦。 臨入諦。	Approaching the entry into the truth.
['ZH_T27_1545_005:0021b25_11']	此彼中間。	此彼中間。	Here and there in the middle.
['ZH_T27_1545_005:0021b26_1']	無容得起不相似心。	無容得起不相似心。	There is no room for the arising of a dissimilar mind.
['ZH_T27_1545_005:0021b26_10']	令不得入聖諦現觀。	令不得入聖諦現觀。	Preventing entry into the direct realization of the noble truths.
['ZH_T27_1545_005:0021b26_16']	此中渡河者。	此中渡河者。	Here, the one who crosses the river
['ZH_T27_1545_005:0021b27_8']	謂從此岸往趣彼岸。	謂從此岸往趣彼岸。	Refers to going from this shore to the other shore.
['ZH_T27_1545_005:0021b27_12', 'ZH_T27_1545_005:0021b28_7']	渡谷者。🔽謂從此邊往趣彼邊渡山者。	渡谷者。 謂從此邊往趣彼邊渡山者。	The one who crosses the valley🔽Refers to going from this side to the other side. The one who crosses the mountain
['ZH_T27_1545_005:0021b29_3']	謂從此峯往趣彼峯渡崖者。	謂從此峯往趣彼峯渡崖者。	Refers to going from this peak to that peak. The one who crosses the cliff
