segmentnr	original	analyzed	folio	translated
['ZH_T27_1545_145:0742c20_0']	阿毘達磨大毘婆沙論卷第一百	阿毘達磨大毘婆沙論卷第一百	145	Abhidharma-mahāvibhāṣā-śāstra, fascicle 100
['ZH_T27_1545_145:0742c21_0']	四十五	四十五	145	forty-five
['ZH_T27_1545_145:0742c23_0', 'ZH_T27_1545_145:0742c26_14']	五百大阿羅漢等造🔽三藏法師玄奘奉　詔譯4根蘊第六中根納息第一之四此二十二根幾見苦所斷乃至廣說。	五百大阿羅漢等造 三藏法師玄奘奉　詔譯4根蘊第六中根納息第一之四此二十二根幾見苦所斷乃至廣說。	145	composed by five hundred great arhats and others🔽tripiṭaka master Xuanzang respectfully received
['ZH_T27_1545_145:0742c27_4']	問何故復作此論。	問何故復作此論。	145	Question: Why did you write this treatise again?
['ZH_T27_1545_145:0742c27_14', 'ZH_T27_1545_145:0742c28_5']	答前門遮說頓斷者意。🔽而猶未遮說頓現觀。	答前門遮說頓斷者意。 而猶未遮說頓現觀。	145	Answer: The previous section refuted the idea of cutting off [afflictions] all at once.🔽But it still did not refute the idea of sudden realization.
['ZH_T27_1545_145:0742c28_14']	又亦未顯漸次現觀。	又亦未顯漸次現觀。	145	Moreover, it also did not clarify gradual realization.
['ZH_T27_1545_145:0742c29_5']	今欲遮顯故作斯論。	今欲遮顯故作斯論。	145	Now, in order to refute and clarify, this treatise is composed.
['ZH_T27_1545_145:0742c29_8']	有說。	有說。	145	Some say:
['ZH_T27_1545_145:0743a01_3']	前門亦遮頓現觀亦顯漸現觀。	前門亦遮頓現觀亦顯漸現觀。	145	The previous section also refuted sudden realization and clarified gradual realization.
['ZH_T27_1545_145:0743a01_8']	但不明了。	但不明了。	145	But it was not clear.
['ZH_T27_1545_145:0743a01_18']	今欲令明了故作斯論。	今欲令明了故作斯論。	145	Now, in order to make it clear, this treatise is composed.
['ZH_T27_1545_145:0743a02_2']	有說。	有說。	145	Some say:
['ZH_T27_1545_145:0743a02_8']	所以作論者。	所以作論者。	145	The reason for writing this treatise is
['ZH_T27_1545_145:0743a03_2']	欲分別五部煩惱五部對治。	欲分別五部煩惱五部對治。	145	to distinguish the five categories of afflictions and the antidotes to the five categories.
['ZH_T27_1545_145:0743a03_7']	故造斯論。	故造斯論。	145	Therefore, this treatise is composed.
['ZH_T27_1545_145:0743a03_18']	五部煩惱者謂見苦所斷。	五部煩惱者謂見苦所斷。	145	The five categories of afflictions are those eliminated by seeing suffering,
['ZH_T27_1545_145:0743a04_4']	乃至修所斷。	乃至修所斷。	145	up to those eliminated by cultivation.
['ZH_T27_1545_145:0743a04_10']	五部對治者。	五部對治者。	145	The antidotes to the five categories are
['ZH_T27_1545_145:0743a04_16']	謂苦忍苦智。	謂苦忍苦智。	145	the acceptance of suffering and the knowledge of suffering,
['ZH_T27_1545_145:0743a05_3']	乃至道忍道智。	乃至道忍道智。	145	up to the acceptance of the path and the knowledge of the path.
['ZH_T27_1545_145:0743a05_10']	此二十二根幾。	此二十二根幾。	145	How many of these twenty-two faculties are there?
['ZH_T27_1545_145:0743a05_15', 'ZH_T27_1545_145:0743a06_2']	見苦所斷。🔽幾見集所斷。	見苦所斷。 幾見集所斷。	145	How many of these twenty-two faculties are to be eliminated by seeing suffering?🔽How many are to be eliminated by seeing the origination [of suffering]?
['ZH_T27_1545_145:0743a06_8']	幾見滅所斷。	幾見滅所斷。	145	How many are to be eliminated by seeing the cessation [of suffering]?
['ZH_T27_1545_145:0743a06_14']	幾見道所斷。	幾見道所斷。	145	How many are to be eliminated by seeing the path [to the cessation of suffering]?
['ZH_T27_1545_145:0743a06_19']	幾修所斷。	幾修所斷。	145	How many are to be eliminated by cultivation?
['ZH_T27_1545_145:0743a07_2']	幾不斷。	幾不斷。	145	How many are not to be eliminated?
['ZH_T27_1545_145:0743a07_8']	答九修所斷。	答九修所斷。	145	Answer: Nine are to be eliminated by cultivation.
['ZH_T27_1545_145:0743a07_12']	三不斷。	三不斷。	145	Three are not to be eliminated.
['ZH_T27_1545_145:0743a07_17', 'ZH_T27_1545_145:0743a08_2']	十應分別。🔽九修所斷者。	十應分別。 九修所斷者。	145	Ten should be distinguished.
['ZH_T27_1545_145:0743a08_9', 'ZH_T27_1545_145:0743a08_14']	謂七色命苦根。🔽三不斷者。	謂七色命苦根。 三不斷者。	145	The nine to be eliminated by cultivation are the seven material faculties, life faculty, and the faculty of suffering.
['ZH_T27_1545_145:0743a08_20', 'ZH_T27_1545_145:0743a09_5']	謂三無漏根。🔽十應分別者。	謂三無漏根。 十應分別者。	145	The three not to be eliminated are the three pure faculties.
['ZH_T27_1545_145:0743a09_14']	謂意四受信等五根。	謂意四受信等五根。	145	The ten to be distinguished are the mental faculty, four faculties of faith, etc., and the five faculties beginning with faith.
['ZH_T27_1545_145:0743a10_4']	謂意根或見苦所斷。	謂意根或見苦所斷。	145	That is, the mental faculty is either to be eliminated by seeing suffering,
['ZH_T27_1545_145:0743a10_14']	或見集見滅見道所斷。	或見集見滅見道所斷。	145	or to be eliminated by seeing the origination, cessation, or path [to the cessation of suffering],
['ZH_T27_1545_145:0743a10_19']	或修所斷。	或修所斷。	145	or to be eliminated by cultivation,
['ZH_T27_1545_145:0743a11_3']	或不斷。	或不斷。	145	or not to be eliminated.
['ZH_T27_1545_145:0743a11_10']	云何見苦所斷。	云何見苦所斷。	145	How is it to be eliminated by seeing suffering?
['ZH_T27_1545_145:0743a12_7']	謂意根隨信隨法行苦現觀邊忍所斷。	謂意根隨信隨法行苦現觀邊忍所斷。	145	It is the mental faculty that is to be eliminated by the perseverance for the realization of the truths that is concomitant with the path of seeing suffering, following faith or following doctrine.
['ZH_T27_1545_145:0743a12_12']	此復云何。	此復云何。	145	What is this again?
['ZH_T27_1545_145:0743a13_8']	謂見苦所斷二十八隨眠相應意根。	謂見苦所斷二十八隨眠相應意根。	145	It is the mental faculty associated with the twenty-eight latent afflictions to be eliminated by seeing suffering.
