segmentnr	original	analyzed	folio	translated
['ZH_T27_1545_140:0719b21_0']	阿毘達磨大毘婆沙論卷第一百	阿毘達磨大毘婆沙論卷第一百	140	Abhidharma-mahāvibhāṣā-śāstra, fascicle 100
['ZH_T27_1545_140:0719b22_0']	四十	四十	140	forty
['ZH_T27_1545_140:0719b24_0', 'ZH_T27_1545_140:0719b27_8']	五百大阿羅漢等造🔽三藏法師玄奘奉　詔譯4大種蘊第五中執受納息第四之四以無間道證預流果。	五百大阿羅漢等造 三藏法師玄奘奉　詔譯4大種蘊第五中執受納息第四之四以無間道證預流果。	140	composed by 500 great arhats and others🔽tripiṭaka master Xuanzang respectfully received
['ZH_T27_1545_140:0719b27_16', 'ZH_T27_1545_140:0719b28_3']	修彼道時四念住。🔽幾現在修。	修彼道時四念住。 幾現在修。	140	when cultivating that path, how many of the four establishments of mindfulness🔽are presently cultivated?
['ZH_T27_1545_140:0719b28_8']	幾未來修。	幾未來修。	140	how many are cultivated in the future?
['ZH_T27_1545_140:0719b28_13']	乃至廣說。	乃至廣說。	140	and so on, explaining in detail.
['ZH_T27_1545_140:0719b29_1']	問何故作此論。	問何故作此論。	140	why was this treatise composed?
['ZH_T27_1545_140:0719b29_11']	答欲止他宗顯己義故。	答欲止他宗顯己義故。	140	the answer is: in order to stop the tenets of others and reveal one's own meaning.
['ZH_T27_1545_140:0719b29_16']	謂或有說。	謂或有說。	140	that is to say, some say:
['ZH_T27_1545_140:0719c01_3']	無未來修。	無未來修。	140	there is no cultivation in the future.
['ZH_T27_1545_140:0719c01_12']	勿有未作而已得故。	勿有未作而已得故。	140	one should not have what has not yet been done and yet already attained.
['ZH_T27_1545_140:0719c02_4']	為遮彼執顯有未來修。	為遮彼執顯有未來修。	140	in order to block that attachment and reveal that there is cultivation in the future.
['ZH_T27_1545_140:0719c02_14']	彼雖未起已起彼類故。	彼雖未起已起彼類故。	140	although it has not yet arisen, it has already arisen in that category.
['ZH_T27_1545_140:0719c03_5']	或復有說二心俱行。	或復有說二心俱行。	140	or some say: two minds occur together.
['ZH_T27_1545_140:0719c03_14']	以見聞等俱時有故。	以見聞等俱時有故。	140	because seeing, hearing, etc. exist simultaneously.
['ZH_T27_1545_140:0719c04_8']	為遮彼執顯無二心俱行。	為遮彼執顯無二心俱行。	140	in order to block that attachment and reveal that there are not two minds occurring together.
['ZH_T27_1545_140:0719c05_1']	剎那迅轉非俱似俱故。	剎那迅轉非俱似俱故。	140	because the rapid turning of moments is not simultaneous but seems simultaneous.
['ZH_T27_1545_140:0719c05_6']	或復有說。	或復有說。	140	or some say:
['ZH_T27_1545_140:0719c06_1']	四正斷等非一時有用因異故。	四正斷等非一時有用因異故。	140	the four right efforts, etc. are not used at the same time because the causes are different.
['ZH_T27_1545_140:0719c07_2']	為遮彼執顯此同時得有四種體無別故。	為遮彼執顯此同時得有四種體無別故。	140	In order to refute this opinion, it is said that these four are simultaneous and have no separate substance.
['ZH_T27_1545_140:0719c07_7']	或復有說。	或復有說。	140	Or, there is another opinion.
['ZH_T27_1545_140:0719c07_13']	信等唯無漏。	信等唯無漏。	140	Faith, etc., are only pure.
['ZH_T27_1545_140:0719c08_4']	經說異生無信等根故。	經說異生無信等根故。	140	Because a scripture says that ordinary beings do not have the faculties of faith, etc.
['ZH_T27_1545_140:0719c08_15']	為遮彼執明信等通有漏。	為遮彼執明信等通有漏。	140	In order to refute this opinion, it is made clear that faith, etc., are common to both pure and impure.
['ZH_T27_1545_140:0719c09_6']	契經但說無漏根故。	契經但說無漏根故。	140	Because a scripture only speaks of pure faculties.
['ZH_T27_1545_140:0719c09_11']	或復有說。	或復有說。	140	Or, there is another opinion.
['ZH_T27_1545_140:0719c09_16']	根力體異。	根力體異。	140	The faculties and powers have different substances.
['ZH_T27_1545_140:0719c10_6']	由彼勝劣位差別故。	由彼勝劣位差別故。	140	Because they are distinguished by superiority and inferiority.
['ZH_T27_1545_140:0719c11_6']	為遮彼執顯位雖殊而根力用一體有故。	為遮彼執顯位雖殊而根力用一體有故。	140	In order to refute this opinion, it is made clear that although there is a difference in status, the faculties and powers have the same substance and function.
['ZH_T27_1545_140:0719c11_11', 'ZH_T27_1545_140:0719c11_17']	或復有說。🔽覺支通有漏。	或復有說。 覺支通有漏。	140	Or, there is another opinion.🔽The factors of enlightenment are common to both pure and impure.
['ZH_T27_1545_140:0719c12_8']	說不淨俱修念覺支故。	說不淨俱修念覺支故。	140	Because it is said that one cultivates the factor of enlightenment of mindfulness together with impurity.
['ZH_T27_1545_140:0719c13_3']	為遮彼執顯覺支唯無漏。	為遮彼執顯覺支唯無漏。	140	In order to refute this opinion, it is made clear that the factors of enlightenment are only pure.
['ZH_T27_1545_140:0719c13_13']	經說有俱非同時俱故。	經說有俱非同時俱故。	140	Because a scripture says that they are not simultaneous, but are simultaneous in the future.
['ZH_T27_1545_140:0719c13_18']	或復有說。	或復有說。	140	Or, there is another opinion.
['ZH_T27_1545_140:0719c14_5']	近分地有喜。	近分地有喜。	140	There is joy in the preliminary stages.
['ZH_T27_1545_140:0719c14_15']	經說依喜斷出離憂故。	經說依喜斷出離憂故。	140	Because a scripture says that one cuts off joy and escapes sorrow based on joy.
['ZH_T27_1545_140:0719c15_7']	為遮彼執明近分無喜。	為遮彼執明近分無喜。	140	In order to refute this opinion, it is made clear that the preliminary stages are without joy.
['ZH_T27_1545_140:0719c15_17']	經說已斷當斷名斷故。	經說已斷當斷名斷故。	140	Because a scripture says that what has been cut off and what will be cut off is called cut off.
['ZH_T27_1545_140:0719c16_4']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c16_13']	正語業命不俱時有。	正語業命不俱時有。	140	Right speech, action, and livelihood do not exist simultaneously.
['ZH_T27_1545_140:0719c17_5']	一剎那中無二身語故。	一剎那中無二身語故。	140	Because in one moment there is no second bodily or verbal [action].
['ZH_T27_1545_140:0719c17_10']	為遮彼執。	為遮彼執。	140	In order to refute this view,
['ZH_T27_1545_140:0719c18_2']	顯三戒俱三根所起。	顯三戒俱三根所起。	140	[the sūtra] shows that the three kinds of precepts arise from the three faculties,
['ZH_T27_1545_140:0719c18_8']	一時可得故。	一時可得故。	140	and can be obtained simultaneously.
['ZH_T27_1545_140:0719c18_13']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c19_3']	預流一來亦得靜慮。	預流一來亦得靜慮。	140	Stream-enterers and once-returners also attain meditative absorption.
['ZH_T27_1545_140:0719c19_16']	為遮彼執顯俱不得未離欲故。	為遮彼執顯俱不得未離欲故。	140	In order to refute this view, [the sūtra] shows that they do not attain [meditative absorption] because they have not yet separated from desire.
['ZH_T27_1545_140:0719c20_3']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c20_8']	忍即是智。	忍即是智。	140	Patience is precisely wisdom.
['ZH_T27_1545_140:0719c20_17']	為遮彼執顯忍非智。	為遮彼執顯忍非智。	140	In order to refute this view, [the sūtra] shows that patience is not wisdom,
['ZH_T27_1545_140:0719c21_8']	以於諦境未審決故。	以於諦境未審決故。	140	because one has not yet ascertained the truth of the object.
['ZH_T27_1545_140:0719c21_13']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c22_5']	異生不斷惑未見諦故。	異生不斷惑未見諦故。	140	Ordinary beings do not eliminate afflictions because they have not yet seen the truth.
['ZH_T27_1545_140:0719c23_3']	為遮彼執明異生亦斷惑見麁等故。	為遮彼執明異生亦斷惑見麁等故。	140	In order to refute this view, [the sūtra] clarifies that ordinary beings also eliminate afflictions and see the gross [afflictions] and so forth.
['ZH_T27_1545_140:0719c23_8']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c23_18']	聖者不以世俗道斷惑。	聖者不以世俗道斷惑。	140	Noble ones do not eliminate afflictions through the worldly path.
['ZH_T27_1545_140:0719c24_4']	為遮彼執。	為遮彼執。	140	In order to refute this view,
['ZH_T27_1545_140:0719c24_14']	顯聖自在隨用何道故。	顯聖自在隨用何道故。	140	[the sūtra] shows that noble ones are free and can use any path [to eliminate afflictions].
['ZH_T27_1545_140:0719c25_1']	或復有說。	或復有說。	140	Or there are some who say:
['ZH_T27_1545_140:0719c25_10']	上地亦有正思惟支。	上地亦有正思惟支。	140	The factor of right thought also exists in the upper [realms].
['ZH_T27_1545_140:0719c26_8']	為遮彼執顯上地無彼支以無尋故。	為遮彼執顯上地無彼支以無尋故。	140	To refute this view, it is shown that those stages do not have those factors, because they are without initial thought.
['ZH_T27_1545_140:0719c26_13']	或復有執。	或復有執。	140	Or, there may be the view
['ZH_T27_1545_140:0719c27_4']	無色亦有無漏戒支。	無色亦有無漏戒支。	140	that the formless realm also has the factors of pure precepts.
['ZH_T27_1545_140:0719c27_9']	為遮彼執。	為遮彼執。	140	To refute this view,
['ZH_T27_1545_140:0719c27_18']	顯彼無戒以無色故。	顯彼無戒以無色故。	140	it is shown that they do not have precepts, because they are without form.
['ZH_T27_1545_140:0719c28_4']	或復有說。	或復有說。	140	Or, there may be the view
['ZH_T27_1545_140:0719c28_13']	三三摩地義別體同。	三三摩地義別體同。	140	that the three samādhis have different meanings but the same substance.
['ZH_T27_1545_140:0719c28_18']	為遮彼執。	為遮彼執。	140	To refute this view,
['ZH_T27_1545_140:0719c29_8']	明體亦異行相別故。	明體亦異行相別故。	140	it is clarified that their substances are also different, because their modes of activity and objects are different.
['ZH_T27_1545_140:0720a01_4']	為止此等種種異宗顯正所明。	為止此等種種異宗顯正所明。	140	In order to stop these various heterodox tenets and to clarify what is correctly explained,
